"periode_data","wilayah","kecamatan","kelurahan","alamat","nama_bank_sampah","kegiatan","status_kegiatan","keterangan"
"2023","Jakarta Pusat","Senen","Kramat","Jl Kramat Raya No 43 RW 04 Kel Kramat Kec Senen","Astra Graphia","pemilahan pengumpulan penyimpanan pengolahan","Aktif","BSU"
"2023","Jakarta Pusat","Senen","Kramat","Jl Kramat Pulo","RW 04","pemilahan pengumpulan penyimpanan pengolahan","Aktif","BSU"
"2023","Jakarta Selatan","Pasar Minggu","Pejaten Timur","Jl Angsana No 04","SDN 01","pemilahan pengumpulan penyimpanan pengolahan","Aktif","BSU"
"2023","Jakarta Pusat","Cempaka Putih","Cempaka Putih Barat","Jl Cempaka Putih Barat RT 12 RW 04","Timbul Ceria RW 04 SPS Paud Cempaka III","pemilahan pengumpulan penyimpanan pengolahan","Aktif","BSU"
"2023","Jakarta Pusat","N A","N A","Jl Balai Warga 06 Murdai I RT 05 RW 05","Kancil RW 06 SPS Mawar Indah","pemilahan pengumpulan penyimpanan pengolahan","Aktif","BSU"
"2023","Jakarta Pusat","Cempaka Putih","Cempaka Putih Timur","Jl Cempaka Putih Barat RT 02 RW 08","Imut RW 08 sps Bungur II","pemilahan pengumpulan penyimpanan pengolahan","Aktif","BSU"
"2023","Jakarta Pusat","Cempaka Putih","Cempaka Putih Barat","Jl Cempaka Putih Barat RT 05 RW 11","Berdikari RW 11 SPS Amanah Sejahtera","pemilahan pengumpulan penyimpanan pengolahan","Aktif","BSU"
"2023","Jakarta Pusat","Cempaka Putih","Cempaka Putih Barat","Jl Cempaka Raya No 3 RT 003 RW 009","Cendana Barokah","pemilahan pengumpulan penyimpanan pengolahan","Aktif","BSU"
"2023","Jakarta Pusat","Cempaka Putih","Cempaka Putih Barat","Jl Cempaka Putih Barat RW 05 SPS Tunas Bangsa","Berseri RW 05 Paud Tunas Bangsa","pemilahan pengumpulan penyimpanan pengolahan","Aktif","BSU"
"2023","Jakarta Pusat","Cempaka Putih","Cempaka Putih Barat","Jl Cempaka Putih Barat XIX RT 08 RW 013 SPS Nurul Hikmah","Libra paud Nurul Hikmah","pemilahan pengumpulan penyimpanan pengolahan","Aktif","BSU"
